ID,Skill,Tags,Question,IMG URL,Difficulty ,A,B,C,D,Correct Answer,Formal Answer Explanation,Step-by-Step Answer Explanation Link
ALG001,System of linear equations,,"Liam and Emma bought books and notebooks from a stationery store. The price of each book was the same, and the price of each notebook was also the same. Liam purchased 6 books and 3 notebooks for $138, while Emma purchased 5 books and 7 notebooks for $250. Which of the following systems of linear equations represents this situation, if 𝑥 represents the price, in dollars, of each book and 𝑦 represents the price, in dollars, of each notebook?",,Easy,"6𝑥+3𝑦=138 
5𝑥+7𝑦=250
","6𝑥+5𝑦=138 
3𝑥+7𝑦=250
","6𝑥+3𝑦=250 
5𝑥+7𝑦=138 
","6𝑥+5𝑦=250 
3𝑥+7𝑦=138 
",A,"Choice A is correct. Liam purchased 6 books, each costing x dollars, for a total of 6x dollars. He also bought 3 notebooks, each costing y dollars, for a total of 3y dollars. Thus, the total amount Liam spent can be represented by 6x+3y=138. Similarly, Emma purchased 5 books at x dollars each and 7 notebooks at y dollars each, for a total of 5x+7y=250.

Choice B is incorrect and may result from switching the number of books Emma purchased with the number of notebooks Liam purchased. 
Choice C is incorrect and may result from swapping the total prices spent by Liam and Emma. 
Choice D is incorrect and may result from both swapping the total prices spent and switching the number of books Emma purchased with the number of notebooks Liam purchased.

",Copy of Algebra: 2-Variable Linear Equations
ALG002,System of linear equations,,"8q=24,  p-7q=-5 The solution to the given system of equations is (p,q). What is the value of p+q ?",,Easy,-29,-19,19,29,C,"Choice C is correct. Adding the second equation of the given system to the first equation yields 8q+(p-7q)=24+(-5), which is equivalent to p+q=19. So the value of p+q is 19 . 

Choice A is incorrect and may result from conceptual or calculation errors.

Choice B is incorrect. This is the value of -(p+q).
Choice D is incorrect and may result from conceptual or calculation errors.

",Copy of Algebra: 1-Variable Linear Equations
ALG003,System of linear equations,,"b=8a+16, b=40 What is the solution (a,b) to the system of equations?",,Easy,"(3,40)","(16,40)","(40,3)","(40,16)",A,"Choice A is correct. The second equation in the given system is b=40. Substituting 40 for b in the first equation yields 40=8a+16. Subtracting 16 from both sides of this equation gives 24=8a. Dividing both sides by 8 yields a=3. Therefore, the solution (a,b) to the given system of equations is (3,40).

Choice B is incorrect and may result from conceptual or calculation errors.

Choice C is incorrect. This represents the solution (b,a), not (a,b), for the given system of equations.

Choice D is incorrect and may result from conceptual or calculation errors.
",Copy of Algebra: 1-Variable Linear Equations
ALG004,System of linear equations,,"A concert venue sells two types of tickets. The general ticket, for basic admission, costs $7. The VIP ticket, which includes admission and access to a backstage tour, costs $15. One Friday, the venue sold a total of 300 tickets and collected a total of $3,500 from ticket sales. Which of the following systems of equations can be used to find the number of general tickets g, and VIP tickets v, sold on that Friday?",,Easy,"g+v=300
7g+15v=3,500 
","g+v=300
15g+7v=3,500
","7g+15v=300
g+v=3,500
","15g+7v=300
g+v=3,500
",A,"Choice A is correct. It is given that the concert venue sells two types of tickets, general and VIP, and that g represents the number of general tickets sold and v represents the number of VIP tickets sold. It is also given that the venue sold 300 tickets on one Friday; thus, g+v=300. Additionally, the cost per general ticket is $7, and the cost per VIP ticket is $15. Thus, the amount collected from ticket sales can be represented as 7g for general tickets and 15v for VIP tickets. The total revenue collected is $3,500, leading to the equation 7g+15v=3,500. These two equations are correctly represented in choice A.

Choice B is incorrect. The second equation in this system incorrectly assigns the cost per general ticket as $15 and the cost per VIP ticket as $7.
Choices C and D are incorrect. The equations represent the total revenue collected from ticket sales as $300 instead of $3,500, and the total number of tickets sold as $3,500 instead of $300. Additionally, the first equation in choice D incorrectly assigns the cost per general ticket as $15 and the cost per VIP ticket as $7.
",Copy of Algebra: 1-Variable Linear Equations
ALG005,System of linear equations,,"a=12  b=a-8  The solution to the system is (a,b). What is the value of b ?",,Easy,4,8,12,20,A,"
Choice A is correct. According to the first equation in the given system, a=12. Substituting 12 for a in the second equation yields b=12-8, or b=4.

Choice B is incorrect and may result from conceptual or calculation errors.

Choice C is incorrect. This is the value of a, not b.

Choice D is incorrect and may result from conceptual or calculation errors.


",Copy of Algebra: 1-Variable Linear Equations
ALG006,System of linear equations,,"m-n=30 and 7n=m What is the solution (m,n) to the system of equations?",,Easy,"(35, 5)","(36, 6)","(34, 4)","(30, 0)",A,"Choice A is correct. The second equation in the given system defines the value of m as 7n. Substituting 7n for m into the first equation yields 7n-n=30, or 6n=30. Dividing each side of this equation by 6 yields n=5. Substituting 5 for n in the second equation yields 7(5)=m or m=35. Therefore, the solution ( m,n ) to the given system of equations is (35,5).

Choice B is incorrect. Substituting 36 for m and 6 for n in the second equation yields 7(6)=36, which is not true. Therefore, (36,6) is not a solution to the given system of equations.

Choice C is incorrect. Substituting 34 for m and 4 for n in the second equation yields 7(4)=34, which is not true. Therefore, (34,4) is not a solution to the given system of equations.

Choice D is incorrect. Substituting 30 for m and 0 for n in the second equation yields 7(0)=30, which is not true. Therefore, (30,0) is not a solution to the given system of equations.
",Copy of Algebra: 1-Variable Linear Equations
ALG007,System of linear equations,,"a=28 and b=a-12  The solution to the given system of equations is (a,b). What is the value of b ?",,Easy,2.3,28,12,16,D,"Choice D is correct. It's given by the first equation in the system of equations that a=28. Substituting 28 for a in the second equation in the given system yields b=28-12, or b=16. Therefore, the value of b is 16.

Choice A is incorrect and may result from conceptual or calculation errors.

Choice B is incorrect. This is the value of a, not the value of b.

Choice C is incorrect and may result from conceptual or calculation errors.
",Copy of Algebra: 1-Variable Linear Equations
ALG008,System of linear equations,,"n=3m-5 
m=6 

What is the solution (m,n) to the given system of equations?
",,Easy,"(6, 18)","(6, 13)","(5, 10)","(5, 20)",B,"Choice B is correct. Since it's given that m=6, substituting 6 for m in the first equation yields n= 3(6)-5. Simplifying the right-hand side of this equation yields n=18-5, or n=13. Therefore, the ordered pair (6,13) is a solution to the given system of equations.

Choice A is incorrect and may result from a calculation error when substituting 6 for m in the first equation. 
Choices C and D are incorrect. Because it's given that m=6, m cannot equal 5 as stated in these ordered pairs.
",Copy of Algebra: 1-Variable Linear Equations
ALG009,System of linear equations,,"6c+2d=31, -5c-d=-11 The solution to the given system of equations is (c,d). What is the value of c+d ?",,Easy,-42,-20,20,-42,C,"Choice C is correct. It's given that 6c+2d=31 and -5c-d=-11 is a system of equations with a solution (c,d). Adding the second equation in the given system to the first equation yields:
6c+2d+(-5c-d)=31+(-11), which simplifies to c+d=20. Thus, the value of c+d is 20 .

Choice A is incorrect. This represents the value of -2(c+d)-2.

Choice B is incorrect. This represents the value of -(c+d).

Choice D is incorrect. This represents the value of 2(c+d)+2.
",Copy of Algebra: 1-Variable Linear Equations
ALG010,System of linear equations,,"t=7s+13
t=34 What is the solution (s,t) to the given system of equations?
",,Easy,"(7,34)","(3,34)","(34,7)","(34,3)",B,"Choice B is correct. It's given by the second equation in the system that t=34. Substituting 34 for t in the first equation yields 34=7s+13  Subtracting 13 from both sides of this equation gives 21=7s  Dividing both sides of this equation by 7 yields s=3. Therefore, since s=3 and t=34, the solution (s,t) to the given system of equations is (3,34).

Choice A is incorrect and may result from conceptual or calculation errors.

Choice C is incorrect and may result from conceptual or calculation errors.

Choice D is incorrect and may result from conceptual or calculation errors.
",Copy of Algebra: 1-Variable Linear Equations
